DATE,法巴新興市場智取債券基金,P014,安聯收益及增長基金,E016,富蘭克林入息基金,C026,施羅德環球股債增長,M022,摩根亞洲股票高息基金,V004,摩根IF下一代新興市場基金,K007,晉達環球黃金基金,H009,富蘭克林科技基金,C023,貝萊德世界礦業基金,R009,安聯中國未來科技基金,E018,富達亞洲特別機會,A016,霸菱環高抵債,N018
2025/11/06,10.71,0.28%,8.5304,-0.03%,9.61,-0.10%,79.4726,0.39%,11.62,0.78%,106.23,0.63%,45.43,1.75%,61.43,-1.54%,82.09,1.89%,12.4939,2.58%,36.5,-0.27%,78.22,0.03%
2025/11/07,10.72,0.09%,8.4564,-0.87%,9.64,0.31%,79.2372,-0.30%,11.56,-0.52%,104.96,-1.20%,46.08,1.43%,61.2,-0.37%,81.48,-0.74%,12.2941,-1.60%,35.92,-1.59%,78.2,-0.03%
2025/11/10,10.75,0.28%,8.57,1.34%,9.66,0.21%,79.6273,0.49%,11.7,1.21%,105.85,0.85%,48.91,6.14%,62.62,2.32%,84.12,3.24%,12.3022,0.07%,36.78,2.39%,78.36,0.20%
2025/11/11,10.78,0.28%,8.57,0.00%,9.71,0.52%,79.9063,0.35%,11.74,0.34%,105.87,0.02%,49.57,1.35%,62.03,-0.94%,84.85,0.87%,12.2416,-0.49%,37,0.60%,78.39,0.04%
2025/11/12,10.79,0.09%,8.59,0.23%,9.73,0.21%,80.2353,0.41%,11.79,0.43%,106.7,0.78%,51.05,2.99%,62.02,-0.02%,86.28,1.69%,12.2132,-0.23%,37.02,0.05%,78.41,0.03%
2025/11/13,10.8,0.09%,8.54,-0.58%,9.7,-0.31%,80.3488,0.14%,11.75,-0.34%,106.6,-0.09%,50.15,-1.76%,60.35,-2.69%,86.93,0.75%,12.3759,1.33%,36.78,-0.65%,78.29,-0.15%
2025/11/14,10.77,-0.28%,8.45,-1.05%,9.69,-0.10%,79.6509,-0.87%,11.59,-1.36%,105.51,-1.02%,49.79,-0.72%,60.58,0.38%,84.93,-2.30%,12.0547,-2.60%,36.5,-0.76%,78.24,-0.06%
2025/11/17,10.78,0.09%,8.4,-0.59%,9.65,-0.41%,79.6695,0.02%,11.62,0.26%,106.06,0.52%,48.84,-1.91%,59.82,-1.25%,85.13,0.24%,11.9657,-0.74%,36.36,-0.38%,78.2,-0.05%
2025/11/18,10.76,-0.19%,8.32,-0.95%,9.63,-0.21%,79.2289,-0.55%,11.43,-1.64%,105.12,-0.89%,48.75,-0.18%,58.96,-1.44%,83.37,-2.07%,11.7949,-1.43%,35.75,-1.68%,78.12,-0.10%
2025/11/19,10.76,0.00%,8.3701,0.60%,9.61,-0.21%,79.2174,-0.01%,11.4,-0.26%,105.5,0.36%,49.37,1.27%,59.4,0.75%,85.26,2.27%,11.7655,-0.25%,35.65,-0.28%,78.18,0.08%
2025/11/20,10.77,0.09%,8.44,0.84%,9.57,-0.42%,78.998,-0.28%,11.49,0.79%,105.37,-0.12%,47.46,-3.87%,57.6,-3.03%,85.4,0.16%,11.6761,-0.76%,35.73,0.22%,78.25,0.09%
2025/11/21,10.7,-0.65%,8.2946,-1.72%,9.65,0.84%,78.5607,-0.55%,11.23,-2.26%,103.91,-1.39%,47.56,0.21%,57.57,-0.05%,81.5,-4.57%,11.2571,-3.59%,34.77,-2.69%,78.26,0.01%
2025/11/24,10.74,0.37%,8.3632,0.83%,9.66,0.10%,78.695,0.17%,11.32,0.80%,104.37,0.44%,50.08,5.30%,59.3,3.01%,83.86,2.90%,11.4374,1.60%,35.49,2.07%,78.39,0.17%
2025/11/25,10.77,0.28%,8.4042,0.49%,9.72,0.62%,79.041,0.44%,11.39,0.62%,104.83,0.44%,50.6,1.04%,59.65,0.59%,84.96,1.31%,11.6792,2.11%,35.58,0.25%,78.48,0.11%
2025/11/26,10.8,0.28%,8.48,0.90%,9.76,0.41%,79.4119,0.47%,11.52,1.14%,105.84,0.96%,53.04,4.82%,60.36,1.19%,86.9,2.28%,11.8028,1.06%,36.17,1.66%,78.62,0.18%
2025/11/27,10.81,0.09%,8.48,0.00%,9.76,0.00%,79.7275,0.40%,11.51,-0.09%,106.13,0.27%,52.87,-0.32%,60.36,0.00%,87.87,1.12%,11.78,-0.19%,36.09,-0.22%,78.62,0.00%
2025/11/28,10.82,0.09%,8.5209,0.48%,9.8,0.41%,79.8548,0.16%,11.41,-0.87%,106.83,0.66%,53.94,2.02%,60.94,0.96%,88.86,1.13%,11.8165,0.31%,36.07,-0.06%,78.48,-0.18%
2025/12/01,10.72,-0.92%,8.5113,-0.11%,9.7,-1.02%,79.8515,0.00%,11.42,0.09%,107.2,0.35%,54.1,0.30%,60.63,-0.51%,90.13,1.43%,11.9484,1.12%,36.24,0.47%,77.87,-0.78%
2025/12/02,10.73,0.09%,8.5254,0.17%,9.71,0.10%,79.8674,0.02%,11.49,0.61%,107.7,0.47%,53.35,-1.39%,61.31,1.12%,89.14,-1.10%,11.8879,-0.51%,36.14,-0.28%,77.96,0.12%
2025/12/03,10.77,0.37%,8.4938,-0.37%,9.78,0.72%,79.9887,0.15%,11.51,0.17%,108.19,0.45%,53.26,-0.17%,61.35,0.07%,89.44,0.34%,11.7796,-0.91%,36.17,0.08%,78.02,0.08%
2025/12/04,10.78,0.09%,8.513,0.23%,9.77,-0.10%,80.1459,0.20%,11.49,-0.17%,109.14,0.88%,52.84,-0.79%,61.4,0.08%,89.72,0.31%,11.9119,1.12%,36.04,-0.36%,78.01,-0.01%
2025/12/05,10.74,-0.37%,8.5385,0.30%,9.76,-0.10%,80.1738,0.03%,11.55,0.52%,109.67,0.49%,53.5,1.25%,61.75,0.57%,91.17,1.62%,12.0397,1.07%,36.62,1.61%,78.04,0.04%
2025/12/08,10.69,-0.47%,8.5372,-0.02%,9.73,-0.31%,80.0897,-0.10%,11.57,0.17%,109.21,-0.42%,52.36,-2.13%,62.23,0.78%,89.68,-1.63%,12.1172,0.64%,36.5,-0.33%,77.95,-0.12%
